month,credit_amount,credit_term,age,sex,education,product_type,having_children_flg,region,income,family_status,phone_operator,is_client,bad_client_target
3,15500.0,12.0,28.0,male,Higher Education,Household appliances,0,2,26000.0,Married,1,0,0
3,25500.0,16.0,22.0,female,Secondary Special Education,Cell phones,0,2,31000.0,Another,0,1,0
4,31000.0,18.0,32.0,female,Secondary Special Education,Cell phones,0,2,13000.0,Another,1,1,1
4,23500.0,10.0,22.0,female,Secondary Special Education,Household appliances,0,2,31000.0,Another,1,1,0
7,8000.0,8.0,31.0,female,Secondary Special Education,Computers,0,2,31000.0,Another,0,0,0
7,18000.0,10.0,35.0,male,Secondary Education,Furniture,1,2,63500.0,Another,1,0,0
7,65500.0,15.0,50.0,female,Higher Education,Tourism,1,2,63500.0,Another,1,1,0
10,19000.0,4.0,60.0,male,Secondary Special Education,Furniture,0,2,9000.0,Married,1,0,0
7,35000.0,6.0,42.0,female,Secondary Special Education,Household appliances,1,2,51000.0,Another,2,1,0
3,37000.0,12.0,26.0,male,Higher Education,Household appliances,1,2,27000.0,Married,3,0,0
2,31000.0,16.0,56.0,male,Secondary Special Education,Cell phones,1,2,33000.0,Another,0,1,0
12,9000.0,12.0,32.0,male,Secondary Special Education,Cell phones,1,2,13000.0,Another,1,0,1
2,13500.0,6.0,24.0,female,Higher Education,Construction Materials,0,2,21000.0,Another,0,1,0
12,22000.0,12.0,37.0,male,Secondary Special Education,Household appliances,1,2,22000.0,Another,1,0,0
7,23500.0,6.0,36.0,male,Higher Education,Household appliances,1,2,31000.0,Another,1,0,0
1,37500.0,3.0,40.0,female,Higher Education,Household appliances,1,0,51000.0,Another,1,1,0
1,31500.0,6.0,39.0,male,Secondary Special Education,Cell phones,0,0,42000.0,Married,1,1,0
11,10000.0,12.0,29.0,male,Higher Education,Cell phones,1,2,24000.0,Married,2,0,1
2,22000.0,12.0,49.0,female,Secondary Special Education,Computers,1,2,41000.0,Another,0,1,0
7,57000.0,8.0,26.0,female,Higher Education,Furniture,1,2,31000.0,Another,4,1,0
1,10500.0,10.0,49.0,female,Secondary Special Education,Household appliances,0,0,16000.0,Another,1,1,0
